Post-OCR Excelsior 1929-1932 - Llama 3.2 + patrones Diana/Irene
Inicio: 2026-09-21T20:10:28.901406
pagina,procesadas,corr_directas,corr_llm
0596_p132,98,2,0
0597_p133,113,3,0
0598_p134,86,1,0
0599_p135,70,0,0
0600_p136,94,0,0
0601_p137,26,0,0
0602_p138,89,1,0
0603_p139,63,0,0
0604_p140,18,0,0
0605_p141,7,0,0
0606_p142,12,0,0
0607_p143,23,0,0
0608_p144,56,1,0
0609_p145,82,0,0
0610_p146,102,0,0
0611_p147,57,1,0
0612_p148,30,0,0
0613_p149,133,0,0
0614_p150,93,0,0
0615_p151,38,0,0
0616_p152,48,1,0
0617_p153,57,1,0
0618_p154,86,1,0
0619_p155,88,1,0
0620_p156,99,0,0
0621_p157,40,2,0
0622_p158,106,1,0
0623_p159,161,0,0
0624_p160,63,2,0
0625_p161,4,0,0
0626_p162,4,0,0
0627_p163,75,1,0
0628_p164,32,0,0
0629_p165,24,0,0
0630_p166,13,0,0
0631_p167,19,0,0
0632_p168,100,0,0
0633_p169,107,1,0
0634_p170,8,0,0
0635_p171,91,0,0
0636_p172,85,0,0
0637_p173,104,2,0
0638_p174,16,0,0
0639_p175,74,1,0
0640_p176,16,0,0
0641_p177,62,0,0
0642_p178,62,1,0
0643_p179,75,0,0
0644_p180,79,1,0
0645_p181,120,0,0
0646_p182,22,0,0
0647_p183,81,0,0
0648_p184,84,1,0
0649_p185,87,1,0
0650_p186,128,0,0
0651_p187,31,0,0
0652_p188,101,3,0
0653_p189,45,0,0
0654_p190,100,3,0
0655_p191,96,1,0
0656_p192,42,1,0
0657_p193,73,0,0
0658_p194,8,0,0
0659_p195,71,1,0
0660_p196,77,0,0
0661_p197,43,1,0
0662_p198,209,0,0
0663_p199,7,0,0
0664_p200,17,0,0
0665_p201,66,1,0
0666_p202,23,0,0
0667_p203,57,3,0
0668_p204,15,0,0
0669_p205,23,0,0
0670_p206,48,0,0
0671_p207,98,1,0
0672_p208,29,0,0
0673_p209,60,0,0
0674_p210,99,2,0
0675_p211,101,0,0
0676_p212,45,0,0
0677_p213,53,0,0
0678_p214,22,0,0
0679_p215,46,0,0
0680_p216,114,2,0
0681_p217,67,0,0
0682_p218,16,0,0
0683_p219,19,0,0
0684_p220,79,2,0
0685_p221,81,0,0
0686_p222,110,2,0
0687_p223,105,1,0
0688_p224,6,0,0
0689_p225,99,0,0
0690_p226,103,1,0
0691_p227,20,0,0
0692_p228,38,0,0
0693_p229,54,0,0
0694_p230,88,1,0
0695_p231,56,0,0
0696_p232,6,0,0
0697_p233,42,0,0
0698_p234,103,0,0
0699_p235,91,1,0
0700_p236,180,0,0
0701_p237,64,1,0
0702_p238,13,0,0
0703_p239,11,0,0
0704_p240,10,0,0
0705_p241,120,1,0
0706_p242,15,0,0
0707_p243,13,0,0
0708_p244,29,0,0
0709_p245,35,0,0
0710_p246,18,0,0
0711_p247,104,1,0
0712_p248,111,2,0
0713_p249,56,0,0
0714_p250,19,0,0
0715_p251,93,1,0
0716_p252,7,0,0
0717_p253,108,1,0
0718_p254,39,0,0
0719_p255,96,5,0
0720_p256,66,2,0
0721_p257,60,1,0
0722_p258,30,0,0
0723_p259,33,0,0
0724_p260,23,0,0
0725_p261,83,2,0
0726_p262,97,3,0
0727_p263,9,0,0
0728_p264,58,0,0
0729_p265,100,2,0
0730_p266,140,0,0
0731_p267,67,0,0
0732_p268,98,1,0
0733_p269,23,0,0
0734_p270,70,1,0
0735_p271,36,0,0
0736_p272,42,3,0
0737_p273,69,5,0
0738_p274,14,0,0
0739_p275,99,3,0
0740_p276,171,0,0
0741_p277,61,1,0
0742_p278,11,0,0
0743_p279,5,0,0
0744_p280,14,0,0
0745_p281,85,0,0
0746_p282,11,0,0
0747_p283,7,0,0
0748_p284,41,0,0
0749_p285,10,0,0
0750_p286,49,2,0
0751_p287,102,6,0
0752_p288,59,0,0
0753_p289,15,1,0
0754_p290,100,1,0
0755_p291,7,0,0
0756_p292,29,0,0
0757_p293,63,1,0
0758_p294,19,1,0
0759_p295,113,1,0
0760_p296,77,0,0
0761_p297,108,2,0
0762_p298,30,0,0
0763_p299,42,0,0
0764_p300,38,1,0
0765_p301,115,2,0
0766_p302,109,0,0
0767_p303,49,0,0
0768_p304,50,0,0
0769_p305,96,0,0
0770_p306,92,3,0
0771_p307,89,0,0
0772_p308,9,0,0
0773_p309,117,0,0
0774_p310,118,3,0
0775_p311,17,0,0
0776_p312,94,2,0
0777_p313,105,2,0
0778_p314,63,1,0
0779_p315,30,1,0
0780_p316,107,0,0
0781_p317,188,1,0
0782_p318,8,0,0
0783_p319,21,0,0
0784_p320,76,1,0
0785_p321,19,0,0
0786_p322,15,0,0
0787_p323,13,0,0
0788_p324,5,0,0
0789_p325,70,1,0
0790_p326,106,1,0
0791_p327,57,0,0
0792_p328,8,0,0
0793_p329,93,4,0
0794_p330,96,2,0
0795_p331,23,0,0
0796_p332,103,1,0
0797_p333,20,1,0
0798_p334,78,0,0
0799_p335,65,0,0
0800_p336,120,1,0
0801_p337,76,0,0
0802_p338,117,1,0
0803_p339,25,0,0
0804_p340,27,1,0
0805_p341,119,1,0
0806_p342,20,0,0
0807_p343,19,1,0
0808_p344,97,0,0
0809_p345,109,3,0
0810_p346,24,0,0
0811_p347,99,2,0
0812_p348,95,0,0
0813_p349,61,0,0
0814_p350,14,0,0
0815_p351,55,0,0
0816_p352,81,1,0
0817_p353,53,0,0
0818_p354,19,0,0
0819_p355,17,0,0
0820_p356,87,2,0
0821_p357,61,1,0
0822_p358,58,2,0
0823_p359,161,0,0
0824_p360,63,1,0
0825_p361,4,0,0
0826_p362,3,0,0
0827_p363,72,2,0
0828_p364,18,0,0
0829_p365,34,0,0
0830_p366,10,0,0
0831_p367,43,0,0
0832_p368,80,1,0
0833_p369,55,1,0
0834_p370,27,1,0
0835_p371,8,0,0
0836_p372,107,4,0
0837_p373,109,3,0
0838_p374,25,0,0
0839_p375,85,1,0
0840_p376,26,1,0
0841_p377,92,1,0
0842_p378,92,0,0
0843_p379,79,0,0
0844_p380,18,0,0
0845_p381,45,0,0
0846_p382,94,0,0
0847_p383,97,0,0
0848_p384,85,2,0
0849_p385,112,1,0
0850_p386,15,0,0
0851_p387,88,3,0
0852_p388,101,5,0
0853_p389,94,0,0
0854_p390,37,0,0
0855_p391,34,0,0
0856_p392,113,7,0
0857_p393,80,2,0
0858_p394,11,0,0
0859_p395,82,1,0
0860_p396,31,1,0
0861_p397,106,5,0
0862_p398,149,0,0
0863_p399,4,0,0
0864_p400,9,0,0
0865_p401,13,0,0
0866_p402,60,1,0
0867_p403,12,0,0
0868_p404,2,0,0
0869_p405,63,2,0
0870_p406,59,1,0
0871_p407,71,1,0
0872_p408,14,0,0
0873_p409,31,0,0
0874_p410,68,1,0
0875_p411,25,0,0
0876_p412,70,0,0
0877_p413,25,1,0
0878_p414,61,0,0
0879_p415,121,1,0
0880_p416,81,1,0
0881_p417,39,2,0
0882_p418,99,1,0
0883_p419,6,0,0
0884_p420,10,0,0
0885_p421,69,0,0
0886_p422,84,2,0
0887_p423,32,0,0
0888_p424,102,1,0
0889_p425,14,0,0
0890_p426,102,1,0
0891_p427,16,1,0
0892_p428,89,0,0
0893_p429,81,1,0
0894_p430,102,0,0
0895_p431,102,2,0
0896_p432,105,0,0
0897_p433,117,2,0
0898_p434,58,1,0
0899_p435,50,0,0
0900_p436,109,8,0
0901_p437,162,0,0
0902_p438,70,1,0
0903_p439,4,0,0
0904_p440,11,0,0
0905_p441,11,0,0
0906_p442,71,0,0
0907_p443,8,2,0
0908_p444,15,0,0
0909_p445,14,0,0
0910_p446,77,1,0
0911_p447,94,11,0
0912_p448,69,0,0
0913_p449,20,1,0
0914_p450,11,0,0
0915_p451,20,0,0
0916_p452,67,1,0
0917_p453,43,0,0
0918_p454,103,0,0
0919_p455,55,0,0
0920_p456,100,0,0
0921_p457,13,0,0
0922_p458,117,3,0
0923_p459,6,0,0
0924_p460,8,0,0
0925_p461,88,1,0
0926_p462,22,0,0
0927_p463,84,1,0
0928_p464,116,2,0
0929_p465,71,1,0
0930_p466,102,1,0
0931_p467,108,0,0
0932_p468,99,1,0
0933_p469,97,2,0
0934_p470,105,2,0
0935_p471,49,1,0
0936_p472,97,4,0
0937_p473,8,0,0
0938_p474,67,2,0
0939_p475,31,1,0
0940_p476,107,7,0
0941_p477,153,0,0
0942_p478,71,1,0
0943_p479,4,0,0
0944_p480,10,0,0
0945_p481,17,0,0
0946_p482,75,0,0
0947_p483,18,0,0
0948_p484,57,0,0
0949_p485,12,0,0
0950_p486,7,0,0
0951_p487,91,5,0
0952_p488,109,3,0
0953_p489,89,0,0
0954_p490,28,0,0
0955_p491,90,1,0
0956_p492,110,2,0
0957_p493,62,0,0
0958_p494,58,0,0
0959_p495,24,0,0
0960_p496,57,0,0
0961_p497,20,0,0
0962_p498,54,0,0
0963_p499,37,0,0
0964_p500,35,0,0
0965_p501,98,0,0
0966_p502,87,1,0
0967_p503,122,0,0
0968_p504,33,0,0
