Post-OCR Excelsior 1929-1932 - Llama 3.2 + patrones Diana/Irene
Inicio: 2026-09-21T20:10:28.901406
pagina,procesadas,corr_directas,corr_llm
1476_p375,70,0,0
1477_p376,76,0,0
1478_p377,42,0,0
1479_p378,36,0,0
1480_p379,48,0,0
1481_p380,61,1,0
1482_p381,72,2,0
1483_p382,68,2,0
1484_p383,20,0,0
1485_p384,58,0,0
1486_p385,50,0,0
1487_p386,8,0,0
1488_p387,87,4,0
1489_p388,101,2,0
1490_p389,89,4,0
1491_p390,51,1,0
1492_p391,88,1,0
1493_p392,78,4,0
1494_p393,9,0,0
1495_p394,101,1,0
1496_p395,55,0,0
1497_p396,59,2,0
1498_p397,13,0,0
1499_p398,8,0,0
1500_p399,9,0,0
1501_p400,67,1,0
1502_p401,11,1,0
1503_p402,24,0,0
1504_p403,27,0,0
1505_p404,3,0,0
1506_p405,62,0,0
1507_p406,21,0,0
1508_p407,98,2,0
1509_p408,95,0,0
1510_p409,116,3,0
1511_p410,106,0,0
1512_p411,103,2,0
1513_p412,14,0,0
1514_p413,9,0,0
1515_p414,59,0,0
1516_p415,37,0,0
1517_p416,52,0,0
1518_p417,21,1,0
1519_p418,41,3,0
1520_p419,91,1,0
1521_p420,55,0,0
1522_p421,11,0,0
1523_p422,95,1,0
1524_p423,71,0,0
1525_p424,33,1,0
1526_p425,46,1,0
1527_p426,92,3,0
1528_p427,92,2,0
1529_p428,64,1,0
1530_p429,91,2,0
1531_p430,101,2,0
1532_p431,61,2,0
1533_p432,67,0,0
1534_p433,15,0,0
1535_p434,103,1,0
1536_p435,50,0,0
1537_p436,4,0,0
1538_p437,6,0,0
1539_p438,85,1,0
1540_p439,15,0,0
1541_p440,3,0,0
1542_p441,34,0,0
1543_p442,26,1,0
1544_p443,18,0,0
1545_p444,19,0,0
1546_p445,33,0,0
1547_p446,71,2,0
1548_p447,91,4,0
1549_p448,95,1,0
1550_p449,57,1,0
1551_p450,29,0,0
1552_p451,79,1,0
1553_p452,84,1,0
1554_p453,80,0,0
1555_p454,12,0,0
1556_p455,28,1,0
1557_p456,38,0,0
1558_p457,77,2,0
1559_p458,75,1,0
1560_p459,102,2,0
1561_p460,75,3,0
1562_p461,59,0,0
1563_p462,49,3,0
1564_p463,83,2,0
1565_p464,74,2,0
1566_p465,18,0,0
1567_p466,32,1,0
1568_p467,84,1,0
1569_p468,97,2,0
1570_p469,92,2,0
1571_p470,44,2,0
1572_p471,8,0,0
1573_p472,95,7,0
1574_p473,54,0,0
1575_p474,5,0,0
1576_p475,13,0,0
1577_p476,71,1,0
1578_p477,9,0,0
1579_p478,67,1,0
1580_p479,10,0,0
1581_p480,4,0,0
1582_p481,113,2,0
1583_p482,114,2,0
1584_p483,115,1,0
1585_p484,114,4,0
1586_p485,22,1,0
1587_p486,14,0,0
1588_p487,77,2,0
1589_p488,68,1,0
1590_p489,7,0,0
1591_p490,69,0,0
1592_p491,58,0,0
1593_p492,88,0,0
1594_p493,26,0,0
1595_p494,48,0,0
1596_p495,72,2,0
1597_p496,56,0,0
1598_p497,88,0,0
1599_p498,27,0,0
1600_p499,66,1,0
1601_p500,118,4,0
1602_p501,23,0,0
1603_p502,36,3,0
1604_p503,64,3,0
1605_p504,71,0,0
1606_p505,22,1,0
1607_p506,54,6,0
1608_p507,68,0,0
1609_p508,46,3,0
1610_p509,44,0,0
1611_p510,116,5,0
1612_p511,56,0,0
1613_p512,61,1,0
1614_p513,12,0,0
1615_p514,5,0,0
1616_p515,102,2,0
1617_p516,19,0,0
1618_p517,26,2,0
1619_p518,91,0,0
1620_p519,3,0,0
1621_p520,118,3,0
1622_p521,118,3,0
1623_p522,118,2,0
1624_p523,116,4,0
1625_p524,10,0,0
1626_p525,77,2,0
1627_p526,31,0,0
1628_p527,86,0,0
1629_p528,73,0,0
1630_p529,48,1,0
1631_p530,69,0,0
1632_p531,35,0,0
1633_p532,24,0,0
1634_p533,40,0,0
1635_p534,79,2,0
1636_p535,77,2,0
1637_p536,67,1,0
1638_p537,75,4,0
1639_p538,53,0,0
1640_p539,15,0,0
1641_p540,38,0,0
1642_p541,69,2,0
1643_p542,100,1,0
1644_p543,100,4,0
1645_p544,52,0,0
1646_p545,70,0,0
1647_p546,53,0,0
1648_p547,62,3,0
1649_p548,80,2,0
1650_p549,52,0,0
1651_p550,116,1,0
1652_p551,62,0,0
1653_p552,8,0,0
1654_p553,18,0,0
1655_p554,87,0,0
1656_p555,37,0,0
1657_p556,21,0,0
1658_p557,41,0,0
1659_p558,4,0,0
1660_p559,88,3,0
1661_p560,106,2,0
1662_p561,55,5,0
1663_p562,75,3,0
1664_p563,59,1,0
1665_p564,40,0,0
1666_p565,26,0,0
1667_p566,46,0,0
1668_p567,108,1,0
1669_p568,50,0,0
1670_p569,88,2,0
1671_p570,55,1,0
1672_p571,41,0,0
1673_p572,38,1,0
1674_p573,8,0,0
1675_p574,74,2,0
1676_p575,105,1,0
1677_p576,39,0,0
1678_p577,50,0,0
1679_p578,13,0,0
1680_p579,76,2,0
1681_p580,85,1,0
1682_p581,92,0,0
1683_p582,16,0,0
1684_p583,76,0,0
1685_p584,26,3,0
1686_p585,90,1,0
1687_p586,11,0,0
1688_p587,12,0,0
1689_p588,96,1,0
1690_p589,45,0,0
1691_p590,66,1,0
1692_p591,11,0,0
1693_p592,3,0,0
1694_p593,24,0,0
1695_p594,73,1,0
1696_p595,22,0,0
1697_p596,26,0,0
1698_p597,36,0,0
1699_p598,93,2,0
1700_p599,105,1,0
1701_p600,69,1,0
1702_p601,5,0,0
1703_p602,100,2,0
1704_p603,118,5,0
1705_p604,70,0,0
1706_p605,8,1,0
1707_p606,67,0,0
1708_p607,8,0,0
1709_p608,69,0,0
1710_p609,53,1,0
1711_p610,70,2,0
1712_p611,33,1,0
1713_p612,50,0,0
1714_p613,80,1,0
1715_p614,74,1,0
1716_p615,64,3,0
1717_p616,93,0,0
1718_p617,31,0,0
1719_p618,18,0,0
1720_p619,38,2,0
1721_p620,88,2,0
1722_p621,68,2,0
1723_p622,29,1,0
1724_p623,56,1,0
1725_p624,93,1,0
1726_p625,57,0,0
1727_p626,25,0,0
1728_p627,99,4,0
1729_p628,102,2,0
1730_p629,54,1,0
1731_p630,9,0,0
1732_p631,30,0,0
1733_p632,121,2,0
1734_p633,1,0,0
1735_p634,23,0,0
1736_p635,60,0,0
1737_p636,3,0,0
1738_p637,52,1,0
1739_p638,111,6,0
1740_p639,114,3,0
1741_p640,33,0,0
1742_p641,26,0,0
1743_p642,98,3,0
1744_p643,118,3,0
1745_p644,85,2,0
1746_p645,25,0,0
1747_p646,74,2,0
1748_p647,43,1,0
1749_p648,101,0,0
1750_p649,17,0,0
1751_p650,51,0,0
1752_p651,81,1,0
1753_p652,60,3,0
1754_p653,109,3,0
1755_p654,72,0,0
1756_p655,74,1,0
1757_p656,8,0,0
1758_p657,88,1,0
1759_p658,70,4,0
1760_p659,41,1,0
1761_p660,52,1,0
1762_p661,45,1,0
1763_p662,67,0,0
1764_p663,89,1,0
1765_p664,91,1,0
1766_p665,41,0,0
1767_p666,107,1,0
1768_p667,54,1,0
1769_p668,55,1,0
1770_p669,13,0,0
1771_p670,6,0,0
1772_p671,69,0,0
1773_p672,66,1,0
1774_p673,30,1,0
1775_p674,12,0,0
1776_p675,15,1,0
1777_p676,3,0,0
1778_p677,10,0,0
1779_p678,53,1,0
1780_p679,76,1,0
1781_p680,24,0,0
1782_p681,96,2,0
1783_p682,42,1,0
1784_p683,99,2,0
1785_p684,80,0,0
1786_p685,16,0,0
1787_p686,112,2,0
1788_p687,107,2,0
1789_p688,95,3,0
1790_p689,113,4,0
1791_p690,84,1,0
1792_p691,81,0,0
1793_p692,72,2,0
1794_p693,22,0,0
1795_p694,73,1,0
1796_p695,100,2,0
1797_p696,14,0,0
1798_p697,116,1,0
1799_p698,117,3,0
1800_p699,81,1,0
1801_p700,100,0,0
1802_p701,93,0,0
1803_p702,57,0,0
1804_p703,38,0,0
1805_p704,106,3,0
1806_p705,91,4,0
1807_p706,84,1,0
1808_p707,21,0,0
1809_p708,54,0,0
1810_p709,79,0,0
1811_p710,101,0,0
1812_p711,12,0,0
1813_p712,4,0,0
1814_p713,75,1,0
1815_p714,15,0,0
1816_p715,7,0,0
1817_p716,51,0,0
1818_p717,34,2,0
1819_p718,96,2,0
1820_p719,114,2,0
1821_p720,109,3,0
1822_p721,2,0,0
1823_p722,71,0,0
1824_p723,73,1,0
1825_p724,39,0,0
1826_p725,79,1,0
1827_p726,46,1,0
1828_p727,50,1,0
1829_p728,54,0,0
1830_p729,73,0,0
1831_p730,35,0,0
1832_p731,44,0,0
1833_p732,73,1,0
1834_p733,21,0,0
1835_p734,52,1,0
1836_p735,96,1,0
1837_p736,86,0,0
1838_p737,82,1,0
1839_p738,36,0,0
1840_p739,32,2,0
1841_p740,55,2,0
1842_p741,49,3,0
1843_p742,59,1,0
1844_p743,85,0,0
1845_p744,72,1,0
1846_p745,85,1,0
1847_p746,10,0,0
1848_p747,100,2,0
1849_p748,53,0,0
1850_p749,5,0,0
1851_p750,37,0,0
1852_p751,76,2,0
1853_p752,9,1,0
1854_p753,38,0,0
1855_p754,26,0,0
1856_p755,2,0,0
1857_p756,94,0,0
1858_p757,114,1,0
1859_p758,98,4,0
1860_p759,19,0,0
1861_p760,53,0,0
1862_p761,27,0,0
1863_p762,74,1,0
1864_p763,49,0,0
1865_p764,12,0,0
1866_p765,53,3,0
1867_p766,50,2,0
1868_p767,83,0,0
1869_p768,40,1,0
1870_p769,60,2,0
1871_p770,75,1,0
1872_p771,56,2,0
1873_p772,103,2,0
1874_p773,17,0,0
1875_p774,69,0,0
1876_p775,83,1,0
1877_p776,52,1,0
1878_p777,81,1,0
1879_p778,91,1,0
1880_p779,78,1,0
1881_p780,82,2,0
1882_p781,51,1,0
1883_p782,24,0,0
1884_p783,28,0,0
1885_p784,12,1,0
1886_p785,115,1,0
1887_p786,56,0,0
1888_p787,54,1,0
1889_p788,4,0,0
1890_p789,3,0,0
1891_p790,34,0,0
1892_p791,8,0,0
1893_p792,55,1,0
1894_p793,2,0,0
1895_p794,51,0,0
1896_p795,88,3,0
1897_p796,105,3,0
1898_p797,73,2,0
1899_p798,7,0,0
1900_p799,31,0,0
1901_p800,80,4,0
1902_p801,78,0,0
1903_p802,59,0,0
1904_p803,58,1,0
1905_p804,65,0,0
1906_p805,69,0,0
1907_p806,34,0,0
1908_p807,38,0,0
1909_p808,77,1,0
1910_p809,92,1,0
1911_p810,77,2,0
1912_p811,74,0,0
1913_p812,70,2,0
1914_p813,82,0,0
1915_p814,50,1,0
1916_p815,14,1,0
1917_p816,50,1,0
1918_p817,38,0,0
1919_p818,67,1,0
1920_p819,75,0,0
1921_p820,24,1,0
1922_p821,95,0,0
1923_p822,45,0,0
1924_p823,55,1,0
1925_p824,4,0,0
1926_p825,2,0,0
1927_p826,32,0,0
1928_p827,66,0,0
1929_p828,17,0,0
1930_p829,7,0,0
1931_p830,19,0,0
1932_p831,4,0,0
1933_p832,26,0,0
1934_p833,102,1,0
1935_p834,114,0,0
1936_p835,95,3,0
1937_p836,81,1,0
1938_p837,24,0,0
1939_p838,77,1,0
1940_p839,116,4,0
1941_p840,48,0,0
1942_p841,49,4,0
1943_p842,41,0,0
1944_p843,84,0,0
1945_p844,8,0,0
1946_p845,8,0,0
1947_p846,47,0,0
1948_p847,95,1,0
1949_p848,107,0,0
1950_p849,49,0,0
1951_p850,33,0,0
1952_p851,60,0,0
1953_p852,101,4,0
1954_p853,89,3,0
1955_p854,11,0,0
1956_p855,74,1,0
1957_p856,72,2,0
1958_p857,45,2,0
1959_p858,50,2,0
1960_p859,29,0,0
1961_p860,73,3,0
1962_p861,112,1,0
1963_p862,50,0,0
1964_p863,2,0,0
1965_p864,10,0,0
1966_p865,71,0,0
1967_p866,7,0,0
1968_p867,11,0,0
1969_p868,48,0,0
1970_p869,3,0,0
1971_p870,62,4,0
1972_p871,62,1,0
1973_p872,91,4,0
1974_p873,6,0,0
1975_p874,46,0,0
1976_p875,72,0,0
1977_p876,93,1,0
1978_p877,59,0,0
1979_p878,71,2,0
1980_p879,104,0,0
1981_p880,59,3,0
1982_p881,45,0,0
1983_p882,41,0,0
1984_p883,49,0,0
1985_p884,39,0,0
1986_p885,66,2,0
1987_p886,22,1,0
1988_p887,68,1,0
1989_p888,87,2,0
1990_p889,58,0,0
1991_p890,41,1,0
1992_p891,7,0,0
1993_p892,46,1,0
1994_p893,60,2,0
1995_p894,62,3,0
1996_p895,66,0,0
1997_p896,10,0,0
1998_p897,51,0,0
1999_p898,98,1,0
2000_p899,54,0,0
2001_p900,56,2,0
2002_p901,3,0,0
